name	name2	txStart	txEnd
NM_027881	Osbpl3	50243325	50332836
NM_001163645	Osbpl3	50243325	50406169
NM_001166371	Zfp638	83864346	83936865
NM_008717	Zfp638	83864346	83936865
NM_153589	Ano2	125640436	125990146
NM_080464	Ppp1r3a	14663821	14705274
NM_001164805	Thsd7a	12261607	12699253
NM_022332	St7	17699169	17893023
NM_001289625	St7	17643993	17893023
NM_019481	Slc13a1	24038282	24118092
NM_001289627	St7	17693591	17893023
NM_001083315	St7	17699169	17893023
NM_001289629	St7	17693591	17893023
NM_001289626	St7	17643993	17893023
NM_001289624	St7	17643993	17893023
NM_175750	Plxna4	32094558	32538192
NM_001311072	Grm8	27225120	28076426
NM_145574	Ccdc136	29348925	29376995
NM_001201378	Ccdc136	29348925	29376995
NM_013791	Mkln1	31348827	31459477
NM_010433	Hipk2	38647838	38826189
NM_001294144	Hipk2	38647838	38826189
NM_001294143	Hipk2	38647838	38826189
NM_175098	Ccdc126	49269272	49291584
NM_001004357	Cntnap2	45010059	47251370
NM_001311112	Ccdc126	49269272	49291584
NM_133737	Lancl2	57652448	57689443
NM_001164316	Ccser1	61130318	62332857
NM_007958	Smarcad1	64992660	65066043
NM_001253392	Smarcad1	64993199	65066043
NM_183310	Ccser1	61130318	62332857
NM_145732	Ctnna2	76831630	77929661
NM_001109764	Ctnna2	76831630	77929661
NM_009819	Ctnna2	76831630	77929661
NM_001134743	Lrrtm4	79968870	80760137
NM_013528	Gfpt1	86992839	87042201
NM_177077	Exoc6b	84568479	85019507
NM_182808	Fam19a1	96063147	96607192
NM_145148	Frmd4b	97236860	97567651
NM_001109749	Cntn4	105627738	106649299
NM_173004	Cntn4	105627738	106624264
NM_170673	Cpne9	113232300	113255565
NM_009662	Alox5	116360088	116411196
NM_013538	Cdca3	124780193	124783719
NM_053204	Erc1	119520813	119798168
NM_011401	Slc2a3	122677826	122692763
NM_144920	Plekha5	140372619	140543427
NM_011216	Ptpro	137200819	137413154
NM_001164403	Ptpro	137359241	137413154
NM_001164402	Ptpro	137359241	137413154
NM_001164401	Ptpro	137200819	137413154
NM_027059	Smco2	146798631	146819926
NM_001167750	Ccdc132	3448392	3553531
NM_007588	Calcr	3635719	3714713
NM_001042725	Calcr	3635719	3713623
NM_001167751	Ccdc132	3448392	3551110
NM_024260	Ccdc132	3448392	3553531
NM_007743	Col1a2	4455696	4491543
NM_001177572	Slc25a13	5991217	6167173
NM_001191027	Dync1i1	5675638	5978039
NM_010063	Dync1i1	5675638	5978039
NM_023048	Asb4	5333385	5383021
NM_001191026	Dync1i1	5675638	5978039
NM_001191025	Dync1i1	5675638	5978039
NM_001191023	Dync1i1	5675638	5978039
NM_015829	Slc25a13	5991217	6167173
NM_010057	Dlx6	6813333	6817970
NM_001302354	Umad1	8209287	8378765
NM_001302353	Umad1	8209287	8378765
NM_001286729	Glcci1	8470057	8547549
NM_010492	Ica1	8580526	8728484
NM_133236	Glcci1	8459599	8547549
NM_001286728	Glcci1	8470057	8547549
NM_001252266	Ica1	8580526	8708458
NM_001168382	Phf14	11875880	12031198
NM_029404	Phf14	11875880	11962096
NM_053242	Foxp2	14851348	15391977
NM_212435	Foxp2	15135505	15391977
NM_001286607	Foxp2	15135505	15391977
NM_008591	Met	17413956	17523980
NM_207176	Tes	17015148	17055825
NM_023653	Wnt2	17938939	17980445
NM_001311064	Ptprz1	22825501	23002916
NM_001252108	Cadps2	23377097	23789421
NM_001252107	Cadps2	23359369	23789421
NM_001252105	Cadps2	23212773	23789421
NM_001252109	Cadps2	23546253	23789421
NM_001252110	Cadps2	23212773	23789421
NM_153163	Cadps2	23212773	23789421
NM_001252106	Cadps2	23212773	23789421
NM_177013	Tmem229a	24901140	24906125
NM_080847	Asb15	24478143	24523164
NM_133925	Rbm28	29073572	29114724
NM_019776	Snd1	28430347	28838832
NM_001171000	Ahcyl2	29718442	29862310
NM_001037740	Strip2	29867012	29909680
NM_010938	Nrf1	29997987	30103458
NM_001164230	Nrf1	29997987	30080115
