Sample	Interval	Chromosome	Start	End
4_epith	0	1	4.316.637	4.317.172
4_epith	1	1	4.503.792	4.504.487
4_epith	2	1	4.509.280	4.509.970
4_epith	3	1	4.603.955	4.604.484
4_epith	4	1	4.756.516	4.757.217
4_epith	5	1	9.841.395	9.841.868
4_epith	6	1	12.905.319	12.906.034
4_epith	7	1	13.192.204	13.192.680
4_epith	8	1	14.706.070	14.706.566
4_epith	9	1	15.896.390	15.896.980
4_epith	10	1	15.903.488	15.904.089
4_epith	11	1	22.981.674	22.982.310
4_epith	12	1	34.278.759	34.279.175
4_epith	13	1	34.674.009	34.674.286
4_epith	14	1	34.721.888	34.722.511
4_epith	15	1	35.163.459	35.163.998
4_epith	16	1	37.641.446	37.641.833
4_epith	17	1	38.298.460	38.299.003
4_epith	18	1	39.153.314	39.153.890
4_epith	19	1	39.221.473	39.222.112
4_epith	20	1	39.242.878	39.243.352
4_epith	21	1	40.185.947	40.186.642
4_epith	22	1	40.300.167	40.300.898
4_epith	23	1	52.211.445	52.212.104
4_epith	24	1	54.848.327	54.848.722
4_epith	25	1	55.774.233	55.774.514
4_epith	26	1	61.244.854	61.245.357
4_epith	27	1	65.720.134	65.720.766
4_epith	28	1	73.840.717	73.841.165
4_epith	29	1	73.981.838	73.982.490
4_epith	30	1	75.017.250	75.017.832
4_epith	31	1	75.018.054	75.018.810
4_epith	32	1	75.037.734	75.038.290
4_epith	33	1	77.463.833	77.464.592
4_epith	34	1	79.631.098	79.631.677
4_epith	35	1	83.847.570	83.848.182
4_epith	36	1	85.071.629	85.072.060
4_epith	37	1	85.082.545	85.083.846
4_epith	38	1	85.273.430	85.274.069
4_epith	39	1	85.320.254	85.320.670
4_epith	40	1	87.487.507	87.490.190
4_epith	41	1	87.521.373	87.522.240
4_epith	42	1	90.108.054	90.111.854
4_epith	43	1	90.115.423	90.119.000
4_epith	44	1	90.128.177	90.129.659
4_epith	45	1	90.145.235	90.147.390
4_epith	46	1	90.147.436	90.148.417
4_epith	47	1	90.148.603	90.152.822
4_epith	48	1	90.153.545	90.158.998
4_epith	49	1	90.371.881	90.372.532
4_epith	50	1	90.403.636	90.404.240
4_epith	51	1	93.523.729	93.524.271
4_epith	52	1	93.803.432	93.804.295
4_epith	53	1	109.489.308	109.489.704
4_epith	54	1	114.546.636	114.547.189
4_epith	55	1	114.559.936	114.560.370
4_epith	56	1	115.339.011	115.339.511
4_epith	57	1	120.539.374	120.541.033
4_epith	58	1	120.652.728	120.653.261
4_epith	59	1	120.891.067	120.891.557
4_epith	60	1	123.683.924	123.684.738
4_epith	61	1	129.235.003	129.235.767
4_epith	62	1	132.418.223	132.418.634
4_epith	63	1	132.660.676	132.661.352
4_epith	64	1	132.700.608	132.700.977
4_epith	65	1	132.722.740	132.723.391
4_epith	66	1	135.309.414	135.310.034
4_epith	67	1	135.578.969	135.579.661
4_epith	68	1	135.592.430	135.593.011
4_epith	69	1	135.635.936	135.636.520
4_epith	70	1	135.855.945	135.856.626
4_epith	71	1	137.677.574	137.678.236
4_epith	72	1	140.467.900	140.468.560
4_epith	73	1	153.159.525	153.159.981
4_epith	74	1	153.821.792	153.822.521
4_epith	75	1	155.959.466	155.960.035
4_epith	76	1	155.964.733	155.965.418
4_epith	77	1	155.967.671	155.968.279
4_epith	78	1	155.995.947	155.996.591
4_epith	79	1	158.690.900	158.691.371
4_epith	80	1	159.058.949	159.059.787
4_epith	81	1	166.390.976	166.391.504
4_epith	82	1	166.535.897	166.536.456
4_epith	83	1	167.130.473	167.130.884
4_epith	84	1	167.791.429	167.791.963
4_epith	85	1	181.076.856	181.077.474
4_epith	86	1	181.078.423	181.079.301
4_epith	87	1	183.190.825	183.191.499
4_epith	88	1	183.354.917	183.355.504
4_epith	89	1	183.379.896	183.380.851
4_epith	90	1	184.029.085	184.029.594
4_epith	91	1	184.426.878	184.427.435
4_epith	92	1	190.773.279	190.773.645
4_epith	93	1	194.426.065	194.426.654
4_epith	94	1	194.981.923	194.982.814
4_epith	95	10	3.039.608	3.040.287
4_epith	96	10	5.662.301	5.662.852
4_epith	97	10	5.746.384	5.747.019
4_epith	98	10	6.404.708	6.405.557
4_epith	99	10	6.444.499	6.445.238
4_epith	100	10	6.459.158	6.459.605
4_epith	101	10	7.236.140	7.236.487
4_epith	102	10	18.595.844	18.596.497
4_epith	103	10	19.442.984	19.443.692
4_epith	104	10	21.197.966	21.198.429
4_epith	105	10	21.293.517	21.294.139
4_epith	106	10	21.295.687	21.296.065
4_epith	107	10	21.460.023	21.460.539
4_epith	108	10	21.721.303	21.721.832
4_epith	109	10	21.861.846	21.863.118
4_epith	110	10	22.362.500	22.363.448
4_epith	111	10	24.401.708	24.402.214
4_epith	112	10	31.051.109	31.051.617
4_epith	113	10	31.311.763	31.312.684
4_epith	114	10	33.277.692	33.278.472
4_epith	115	10	33.965.832	33.966.355
4_epith	116	10	39.344.781	39.345.937
4_epith	117	10	41.970.970	41.971.546
4_epith	118	10	43.384.516	43.385.267
4_epith	119	10	43.448.478	43.449.178
4_epith	120	10	44.147.623	44.148.341
4_epith	121	10	59.436.691	59.437.320
4_epith	122	10	59.441.771	59.442.271
4_epith	123	10	59.544.638	59.545.097
4_epith	124	10	61.007.174	61.007.700
4_epith	125	10	61.773.050	61.773.404
4_epith	126	10	65.502.020	65.502.564
4_epith	127	10	68.566.962	68.567.616
4_epith	128	10	69.622.172	69.622.869
4_epith	129	10	74.973.198	74.973.645
4_epith	130	10	77.915.261	77.915.814
4_epith	131	10	79.115.396	79.115.941
4_epith	132	10	82.411.917	82.412.378
4_epith	133	10	85.721.580	85.722.206
4_epith	134	10	86.277.064	86.277.745
4_epith	135	10	86.477.249	86.477.783
4_epith	136	10	90.703.875	90.704.523
4_epith	137	10	91.442.451	91.443.162
4_epith	138	10	91.456.102	91.456.761
4_epith	139	10	91.709.467	91.710.241
4_epith	140	10	91.799.588	91.800.059
4_epith	141	10	92.794.046	92.794.665
4_epith	142	10	94.602.213	94.602.798
4_epith	143	10	94.697.116	94.697.864
4_epith	144	10	94.920.845	94.921.462
4_epith	145	10	95.797.155	95.797.911
4_epith	146	10	95.978.027	95.978.592
4_epith	147	10	96.033.675	96.034.303
4_epith	148	10	98.197.542	98.198.190
4_epith	149	10	98.509.666	98.510.326
4_epith	150	10	98.540.400	98.541.021
4_epith	151	10	99.098.641	99.099.174
4_epith	152	10	103.890.476	103.891.007
4_epith	153	10	107.865.482	107.866.047
4_epith	154	10	110.153.866	110.154.304
4_epith	155	10	115.334.144	115.334.701
4_epith	156	10	115.536.965	115.537.267
4_epith	157	10	117.106.636	117.107.202
4_epith	158	10	126.033.956	126.034.416
4_epith	159	10	126.251.157	126.251.707
4_epith	160	10	127.373.249	127.373.918
4_epith	161	11	3.000.904	3.002.536
4_epith	162	11	3.021.944	3.022.621
4_epith	163	11	3.025.505	3.026.188
4_epith	164	11	3.026.807	3.027.717
4_epith	165	11	3.028.256	3.028.632
4_epith	166	11	3.028.752	3.030.198
4_epith	167	11	3.030.217	3.039.360
4_epith	168	11	3.039.364	3.049.010
4_epith	169	11	3.049.395	3.051.820
4_epith	170	11	3.052.004	3.074.908
4_epith	171	11	3.074.968	3.080.390
4_epith	172	11	3.080.613	3.100.290
4_epith	173	11	4.727.856	4.728.460
4_epith	174	11	8.474.752	8.475.394
4_epith	175	11	11.744.395	11.744.982
4_epith	176	11	12.131.596	12.132.176
4_epith	177	11	17.069.157	17.069.775
4_epith	178	11	19.636.657	19.637.865
4_epith	179	11	19.749.683	19.750.302
4_epith	180	11	19.817.309	19.817.994
4_epith	181	11	21.101.182	21.101.864
4_epith	182	11	21.249.118	21.249.918
4_epith	183	11	24.528.623	24.529.171
4_epith	184	11	28.806.213	28.806.746
4_epith	185	11	31.450.826	31.451.212
4_epith	186	11	31.454.898	31.455.492
4_epith	187	11	32.629.559	32.630.250
4_epith	188	11	35.563.917	35.564.678
4_epith	189	11	35.681.998	35.682.613
4_epith	190	11	35.731.680	35.732.271
4_epith	191	11	40.568.633	40.569.246
4_epith	192	11	43.771.593	43.772.170
4_epith	193	11	49.752.291	49.752.700
4_epith	194	11	51.472.049	51.472.544
4_epith	195	11	53.717.516	53.718.159
4_epith	196	11	53.736.430	53.736.844
4_epith	197	11	53.953.338	53.954.462
4_epith	198	11	59.547.930	59.548.433
4_epith	199	11	59.774.219	59.775.534
4_epith	200	11	62.949.660	62.950.351
4_epith	201	11	65.201.598	65.202.182
4_epith	202	11	67.481.233	67.481.569
4_epith	203	11	67.761.960	67.762.298
4_epith	204	11	68.910.273	68.910.943
4_epith	205	11	70.448.619	70.449.366
4_epith	206	11	72.101.701	72.102.088
4_epith	207	11	72.248.068	72.248.506
4_epith	208	11	72.282.335	72.283.030
4_epith	209	11	74.680.481	74.681.273
4_epith	210	11	76.137.600	76.138.177
4_epith	211	11	78.215.495	78.215.927
4_epith	212	11	79.466.298	79.466.861
4_epith	213	11	82.668.835	82.669.291
4_epith	214	11	83.914.755	83.915.489
4_epith	215	11	83.922.989	83.923.435
4_epith	216	11	87.968.980	87.969.546
4_epith	217	11	97.244.244	97.244.879
4_epith	218	11	97.766.009	97.766.568
4_epith	219	11	98.558.026	98.558.598
4_epith	220	11	98.894.179	98.894.773
4_epith	221	11	99.315.897	99.316.605
4_epith	222	11	99.957.815	99.958.350
4_epith	223	11	100.019.319	100.019.882
4_epith	224	11	100.148.199	100.148.740
4_epith	225	11	100.150.170	100.150.629
4_epith	226	11	100.715.446	100.716.134
4_epith	227	11	100.731.992	100.732.262
4_epith	228	11	101.561.655	101.562.346
4_epith	229	11	102.274.414	102.275.169
4_epith	230	11	108.872.663	108.873.683
4_epith	231	11	109.389.415	109.390.103
4_epith	232	11	109.415.860	109.416.313
4_epith	233	11	109.417.369	109.417.956
4_epith	234	11	110.310.050	110.310.603
4_epith	235	11	115.531.875	115.532.423
4_epith	236	11	115.612.996	115.613.501
4_epith	237	11	116.290.671	116.291.357
4_epith	238	11	117.024.254	117.024.759
4_epith	239	11	119.647.761	119.648.332
4_epith	240	11	119.736.002	119.736.543
4_epith	241	11	120.240.633	120.241.045
4_epith	242	11	120.553.540	120.554.028
4_epith	243	11	120.863.473	120.864.018
4_epith	244	11	120.943.606	120.944.175
4_epith	245	12	13.968.885	13.969.302
4_epith	246	12	14.289.651	14.290.207
4_epith	247	12	16.557.936	16.558.560
4_epith	248	12	16.759.766	16.760.436
4_epith	249	12	16.767.086	16.767.510
4_epith	250	12	16.771.499	16.772.144
4_epith	251	12	16.777.694	16.778.402
4_epith	252	12	17.246.063	17.246.472
4_epith	253	12	17.730.765	17.731.226
4_epith	254	12	25.541.831	25.542.384
4_epith	255	12	25.582.880	25.583.527
4_epith	256	12	25.901.381	25.901.967
4_epith	257	12	26.123.292	26.123.814
4_epith	258	12	29.425.893	29.426.497
