name	name2	txStart	txEnd
NM_175276	Fhod3	24867123	25292008
NM_008292	Hsd17b4	50287854	50355924
NM_001289655	Fhod3	24867123	25292008
NM_001289654	Fhod3	24867123	25292008
NM_007664	Cdh2	16747385	16967755
NM_178722	Zfp438	5210028	5334437
NM_010680	Lama3	12492532	12741521
NM_027616	Ccdc178	21969397	22329897
NM_199024	Nol4	22851655	23200154
NM_027007	Zfp397	24113188	24123171
NM_001161483	Nol4	22851655	23197164
NM_001301256	Gm38666	37127284	38001526
NM_001174154	Gm37013	37112301	38001526
NM_001271547	Slc4a9	36687805	36715926
NM_030749	Sil1	35426049	35658579
NM_001301259	Pcdha7-g	37133455	38001526
NM_172830	Slc4a9	36687805	36704262
NM_001271546	Slc4a9	36687805	36704262
NM_001271545	Slc4a9	36687805	36704262
NM_001271544	Slc4a9	36687805	36704262
NM_028392	Ppp2r2b	42804874	43219125
NM_026240	Gramd3	56591785	56663446
NM_001014981	Wdr7	63868348	64149413
NM_001082553	Rab27b	70138784	70301259
NM_028948	Cfap53	74442753	74519638
NM_007831	Dcc	71413285	72510723
NM_172834	Loxhd1	77520696	77680996
NM_030683	Slc14a2	78379979	78793689
NM_177832	Zfp236	82762988	82862126
NM_207651	Slc14a2	78342882	78793689
NM_001311067	Crem	3266351	3281130
NM_001110857	Crem	3266351	3327589
NM_001110856	Crem	3266351	3327589
NM_001110859	Crem	3266351	3327589
NM_001110858	Crem	3266351	3327589
NM_001271506	Crem	3266351	3327589
NM_001110855	Crem	3266351	3281745
NM_001110854	Crem	3266351	3281745
NM_013498	Crem	3266351	3327589
NM_001110853	Crem	3266351	3299554
NM_001110850	Crem	3266351	3327589
NM_001271503	Crem	3266351	3327589
NM_029402	Cul2	3383222	3436698
NM_001271505	Crem	3266351	3327589
NM_001271504	Crem	3266351	3327589
NM_001311066	Crem	3266351	3281130
NM_153153	Svil	5046586	5119291
NM_029277	Arhgap12	6024447	6136096
NM_001039692	Arhgap12	6024447	6136096
NM_011546	Zeb1	5591857	5775466
NM_177595	Mkx	6934963	7004777
NM_001161620	Mpp7	7379646	7626861
NM_001081287	Mpp7	7347959	7626861
NM_009071	Rock1	10064398	10181790
NM_130449	Colec12	9707645	9877993
NM_178801	Tmem241	12139811	12280046
NM_001146287	Cables1	11997782	12104136
NM_001289667	Tmem241	12139811	12280046
NM_001289666	Tmem241	12139811	12280046
NM_001190371	Ankrd29	12410865	12464229
NM_001252495	Rbbp8	11791784	11901716
NM_022021	Cables1	11997782	12104136
NM_028341	Ttc39c	12802041	12895561
NM_001252490	Osbpl1a	12913820	13021889
NM_207530	Osbpl1a	12913820	13100350
NM_001252489	Osbpl1a	12913820	13038488
NM_001252493	Osbpl1a	12913820	13021222
NM_001252492	Osbpl1a	12913820	13021222
NM_001252491	Osbpl1a	12913820	13021222
NM_145492	Zfp521	13845522	14131242
NM_001100449	Taf4b	14941753	15058868
NM_134112	Kctd1	15127193	15309955
NM_009280	Ss18	14784137	14841423
NM_001161369	Ss18	14784137	14841423
NM_001161371	Ss18	14784137	14841423
NM_001142731	Kctd1	15127193	15222091
NM_001161370	Ss18	14784137	14841423
NM_001033445	Garem	21285842	21458640
NM_001081403	Klhl14	21708877	21810869
NM_008586	Mep1b	21230844	21258700
NM_001167777	Asxl3	22503589	22688728
NM_001285810	Dtna	23655982	23818220
NM_001162942	Mapre2	23910833	24052362
NM_001162941	Mapre2	23912225	24052362
NM_001285807	Dtna	23573909	23818220
NM_001285817	Dtna	23655982	23818220
NM_010087	Dtna	23573909	23762732
NM_001285813	Dtna	23468520	23818220
NM_001285811	Dtna	23573909	23794278
NM_001285808	Dtna	23655982	23818220
NM_153058	Mapre2	23962470	24052362
NM_207650	Dtna	23573909	23818220
NM_001160404	Galnt1	24364494	24445317
NM_013814	Galnt1	24363844	24445317
NM_021448	Elp2	24762461	24797331
NM_001146292	Celf4	25636120	25912484
NM_001142697	Tpgs2	25294539	25324466
NM_001033532	AW554918	25327520	25625822
NM_001146294	Celf4	25636120	25912484
NM_001146293	Celf4	25636120	25912484
NM_001004361	Tpgs2	25294539	25327378
NM_133195	Celf4	25636120	25912484
NM_001142698	Tpgs2	25285723	25327378
NM_001174074	Celf4	25636120	25912484
NM_028866	Wdr33	31963710	32068641
NM_001170967	Wdr33	31963710	32001296
NM_001170966	Wdr33	31963710	31995089
NM_011946	Map3k2	32322742	32396405
NM_001170970	Wdr33	31963710	32001296
NM_173441	Iws1	32227387	32263985
NM_009793	Camk4	33098694	33355421
NM_007462	Apc	34380637	34481844
NM_013512	Epb41l4a	33955980	34166860
NM_010280	Gfra3	34849551	34880041
NM_001167891	Nrg2	36177311	36356814
NM_011397	Slc23a1	35774257	35786881
NM_138661	Pcdha9	37157533	37347311
NM_138663	Pcdha12	37179883	37347311
NM_201243	Pcdha8	37152120	37347311
NM_198117	Pcdha2	37098858	37347314
NM_009961	Pcdha10	37164973	37347311
NM_007766	Pcdha4	37112342	37347311
NM_001205336	Arap3	38132276	38158623
NM_139206	Arap3	38132276	38157228
NM_001305980	Diaph1	38003254	38095077
NM_033590	Pcdhga7	37874487	38001526
NM_001305981	Diaph1	38003254	38095077
NM_007858	Diaph1	38003254	38095077
NM_008173	Nr3c1	39570198	39646899
NM_175164	Arhgap26	39152798	39535939
NM_010197	Fgf1	38998326	39078353
NM_001033789	Gm5820	39052109	39130928
NM_023311	Yipf5	40364518	40379053
NM_026135	Kctd16	40418014	40690838
NM_001039474	Tcerg1	42671140	42735439
NM_172626	Rbm27	42435006	42501194
NM_001289526	Tcerg1	42671140	42735439
NM_001163637	Jakmip2	43691061	43847427
NM_001291455	Dpysl3	43480632	43597940
NM_009468	Dpysl3	43480632	43553031
NM_001136086	Dpysl3	43480632	43532926
NM_001085373	Mcc	44584713	44971836
NM_027490	Dcp2	44540153	44584623
NM_001085374	Mcc	44584713	44821920
NM_001312905	Kcnn2	45428513	45845537
NM_029008	Lvrn	47009692	47065100
NM_009681	Ap3s1	46901529	46950480
NM_001303015	Ap3s1	46901529	46950480
NM_018744	Sema6a	47404907	47528522
NM_001311097	Sema6a	47404907	47528524
NM_001177760	Tnfaip8	50139080	50252883
NM_001177759	Tnfaip8	50139080	50252883
NM_001081371	Dmxl1	49992650	50125127
NM_001199153	Sncaip	52927746	53075585
NM_001199151	Sncaip	52927464	53075585
NM_001199154	Sncaip	52927797	53075585
NM_026408	Sncaip	52927464	53075585
NM_175751	Zfp608	55047698	55149834
NM_010721	Lmnb1	56867466	56913079
NM_028447	Prrc1	57514386	57552373
NM_001001979	Megf10	57292743	57457121
NM_029290	1700011I03Rik	57693479	57890719
NM_010181	Fbn2	58168276	58369580
NM_009194	Slc12a2	58038331	58106475
NM_001311063	1700011I03Rik	57693433	57890719
NM_008809	Pdgfrb	61204803	61244721
NM_001146268	Pdgfrb	61204803	61244721
NM_001164491	Ablim3	61959046	62071506
NM_198649	Ablim3	61959046	62071478
NM_177829	Spink10	62708564	62821042
NM_172628	Sh3tc2	62112728	62175373
NM_001039485	Piezo2	63169866	63546837
NM_001001488	Atp8b1	64688632	64820654
NM_001114386	Nedd4l	65047409	65377480
NM_001037294	Alpk2	65425185	65553542
NM_031881	Nedd4l	65183180	65377480
NM_207255	Zfp532	65739883	65849090
NM_178793	Ccbe1	66216509	66451492
NM_010307	Gnal	67293213	67386445
NM_027556	Cep192	67959760	68044824
NM_144867	Slmo1	67624502	67640235
NM_177137	Gnal	67247951	67386445
NM_001083967	Tcf4	69505374	69847621
NM_013685	Tcf4	69504145	69847621
NM_001289649	Stard6	70632281	70660719
NM_010773	Mbd2	70727945	70785785
