Sample	Interval	Chromosome	Start	End
2_P4	0	1	4281325	4281864
2_P4	1	1	4283172	4283726
2_P4	2	1	4316605	4317219
2_P4	3	1	4415992	4417278
2_P4	4	1	4424703	4425284
2_P4	5	1	4483407	4484253
2_P4	6	1	4503840	4504713
2_P4	7	1	4509175	4510006
2_P4	8	1	4561334	4562435
2_P4	9	1	4592476	4593016
2_P4	10	1	4598724	4599340
2_P4	11	1	4603936	4604605
2_P4	12	1	4605254	4605924
2_P4	13	1	4643935	4644547
2_P4	14	1	4661496	4662230
2_P4	15	1	4745934	4746865
2_P4	16	1	4756372	4757222
2_P4	17	1	4847348	4848090
2_P4	18	1	5212978	5213615
2_P4	19	1	5272597	5272972
2_P4	20	1	6215884	6216583
2_P4	21	1	6277952	6278959
2_P4	22	1	6303013	6303750
2_P4	23	1	7103663	7104139
2_P4	24	1	7391547	7392264
2_P4	25	1	7492339	7492960
2_P4	26	1	7493088	7493750
2_P4	27	1	7508368	7508716
2_P4	28	1	8291399	8291835
2_P4	29	1	9238426	9239201
2_P4	30	1	9677040	9677481
2_P4	31	1	9745622	9746536
2_P4	32	1	9753989	9754551
2_P4	33	1	9841322	9841922
2_P4	34	1	10762280	10762961
2_P4	35	1	10789326	10789739
2_P4	36	1	10817229	10817528
2_P4	37	1	10999432	10999838
2_P4	38	1	11741921	11742618
2_P4	39	1	11984976	11985671
2_P4	40	1	11986038	11987061
2_P4	41	1	12055229	12055660
2_P4	42	1	12282373	12283038
2_P4	43	1	12285952	12286429
2_P4	44	1	12400184	12400828
2_P4	45	1	12408855	12409328
2_P4	46	1	12546919	12547869
2_P4	47	1	12721344	12721887
2_P4	48	1	12753919	12755038
2_P4	49	1	12804413	12805355
2_P4	50	1	12848271	12848684
2_P4	51	1	12867416	12868586
2_P4	52	1	12870112	12870647
2_P4	53	1	12902412	12903206
2_P4	54	1	12905261	12906124
2_P4	55	1	12932210	12932913
2_P4	56	1	12933185	12933810
2_P4	57	1	12993298	12994016
2_P4	58	1	13011727	13012202
2_P4	59	1	13017816	13018417
2_P4	60	1	13124866	13125407
2_P4	61	1	13152917	13153385
2_P4	62	1	13186632	13187413
2_P4	63	1	13192046	13192871
2_P4	64	1	13235491	13236379
2_P4	65	1	13243996	13244608
2_P4	66	1	13298906	13300071
2_P4	67	1	13303986	13304553
2_P4	68	1	13319653	13320156
2_P4	69	1	13346067	13346496
2_P4	70	1	13352330	13352790
2_P4	71	1	13863785	13864405
2_P4	72	1	14119409	14119712
2_P4	73	1	14134255	14134858
2_P4	74	1	14503497	14504190
2_P4	75	1	14630432	14631204
2_P4	76	1	14706058	14706789
2_P4	77	1	15286891	15287327
2_P4	78	1	15420045	15421178
2_P4	79	1	15436655	15437210
2_P4	80	1	15740939	15741548
2_P4	81	1	15867116	15867723
2_P4	82	1	15896226	15897150
2_P4	83	1	15898499	15899250
2_P4	84	1	15903089	15904092
2_P4	85	1	15910151	15910646
2_P4	86	1	15926819	15927130
2_P4	87	1	15933246	15933687
2_P4	88	1	16048568	16049000
2_P4	89	1	16217266	16218068
2_P4	90	1	16219400	16220300
2_P4	91	1	16392559	16393151
2_P4	92	1	16646770	16647809
2_P4	93	1	16692843	16693188
2_P4	94	1	16991771	16992363
2_P4	95	1	17440331	17440932
2_P4	96	1	17560136	17561038
2_P4	97	1	18262600	18263219
2_P4	98	1	20609905	20610439
2_P4	99	1	20853906	20854358
2_P4	100	1	21004359	21005046
2_P4	101	1	21027919	21028368
2_P4	102	1	21221857	21222629
2_P4	103	1	21230277	21230695
2_P4	104	1	21295661	21296157
2_P4	105	1	21369977	21370529
2_P4	106	1	21680501	21681121
2_P4	107	1	21770491	21771063
2_P4	108	1	22328948	22329695
2_P4	109	1	22947484	22947862
2_P4	110	1	22981515	22982305
2_P4	111	1	23185328	23185949
2_P4	112	1	23204232	23204800
2_P4	113	1	23209104	23210268
2_P4	114	1	23210894	23211702
2_P4	115	1	23213728	23214226
2_P4	116	1	23327551	23328223
2_P4	117	1	23328250	23328925
2_P4	118	1	23663076	23663525
2_P4	119	1	23950983	23951619
2_P4	120	1	23952543	23953090
2_P4	121	1	24922867	24923407
2_P4	122	1	30596768	30597287
2_P4	123	1	31090585	31091173
2_P4	124	1	31108106	31108928
2_P4	125	1	31198735	31199341
2_P4	126	1	32270875	32271609
2_P4	127	1	32366362	32366948
2_P4	128	1	32641813	32642385
2_P4	129	1	33702488	33703082
2_P4	130	1	33715079	33715610
2_P4	131	1	33767604	33767916
2_P4	132	1	34078153	34078840
2_P4	133	1	34109265	34109784
2_P4	134	1	34114742	34115238
2_P4	135	1	34187471	34188435
2_P4	136	1	34196703	34197463
2_P4	137	1	34197470	34198014
2_P4	138	1	34278314	34279190
2_P4	139	1	34301610	34302211
2_P4	140	1	34302946	34303735
2_P4	141	1	34311686	34312336
2_P4	142	1	34372157	34373542
2_P4	143	1	34428818	34429321
2_P4	144	1	34525056	34525685
2_P4	145	1	34526621	34527170
2_P4	146	1	34539050	34539643
2_P4	147	1	34673840	34674953
2_P4	148	1	34720961	34721662
2_P4	149	1	34721852	34722608
2_P4	150	1	34736230	34736807
2_P4	151	1	34779478	34780038
2_P4	152	1	35388709	35389429
2_P4	153	1	35472411	35473691
2_P4	154	1	35686182	35686717
2_P4	155	1	35688254	35688551
2_P4	156	1	35709838	35710694
2_P4	157	1	35786728	35787189
2_P4	158	1	35826926	35827478
2_P4	159	1	35843473	35844145
2_P4	160	1	35870464	35871038
2_P4	161	1	35980643	35981394
2_P4	162	1	36070477	36071244
2_P4	163	1	36116723	36117258
2_P4	164	1	36175113	36175728
2_P4	165	1	36287639	36288637
2_P4	166	1	36340423	36341075
2_P4	167	1	36436412	36437061
2_P4	168	1	36530125	36530793
2_P4	169	1	36612811	36615723
2_P4	170	1	36630890	36631578
2_P4	171	1	36652717	36653474
2_P4	172	1	36690783	36691483
2_P4	173	1	36918233	36918725
2_P4	174	1	36930229	36930819
2_P4	175	1	36938041	36938719
2_P4	176	1	36976625	36977410
2_P4	177	1	37019489	37020180
2_P4	178	1	37305098	37305649
2_P4	179	1	37329894	37331182
2_P4	180	1	37411998	37412394
2_P4	181	1	37417502	37418065
2_P4	182	1	37568759	37569637
2_P4	183	1	37721633	37722117
2_P4	184	1	37722749	37723860
2_P4	185	1	37744358	37744857
2_P4	186	1	37751067	37751788
2_P4	187	1	37752869	37753591
2_P4	188	1	38297939	38299328
2_P4	189	1	38444914	38445827
2_P4	190	1	38685812	38686678
2_P4	191	1	38964365	38965026
2_P4	192	1	39142842	39143682
2_P4	193	1	39153086	39154042
2_P4	194	1	39160832	39161485
2_P4	195	1	39169712	39170692
2_P4	196	1	39173030	39173568
2_P4	197	1	39221464	39222249
2_P4	198	1	39243605	39244375
2_P4	199	1	39253456	39254141
2_P4	200	1	39304403	39304823
2_P4	201	1	39312128	39312918
2_P4	202	1	39474275	39475109
2_P4	203	1	39515100	39515897
2_P4	204	1	39582520	39582995
2_P4	205	1	39675308	39675794
2_P4	206	1	39682295	39682778
2_P4	207	1	39816425	39817202
2_P4	208	1	40012593	40013365
2_P4	209	1	40151253	40152087
2_P4	210	1	40164693	40165254
2_P4	211	1	40166555	40167100
2_P4	212	1	40185857	40186591
2_P4	213	1	40188381	40189067
2_P4	214	1	40300245	40301094
2_P4	215	1	40313618	40314138
2_P4	216	1	40526612	40527262
2_P4	217	1	40529115	40529969
2_P4	218	1	40722664	40723375
2_P4	219	1	40737055	40737466
2_P4	220	1	40765240	40765922
2_P4	221	1	40816474	40817203
2_P4	222	1	40886221	40886727
2_P4	223	1	40937177	40937576
2_P4	224	1	42247652	42248288
2_P4	225	1	42544440	42545140
2_P4	226	1	42581322	42581806
2_P4	227	1	42948348	42948747
2_P4	228	1	42966969	42967720
2_P4	229	1	43028043	43028770
2_P4	230	1	43141565	43142271
2_P4	231	1	43144126	43144684
2_P4	232	1	43230150	43231174
2_P4	233	1	43301768	43302346
2_P4	234	1	43414940	43415489
2_P4	235	1	43465086	43465645
2_P4	236	1	43490688	43491234
2_P4	237	1	43503383	43504528
2_P4	238	1	43524443	43524918
2_P4	239	1	43611087	43611807
2_P4	240	1	43690287	43690793
2_P4	241	1	43751393	43752224
2_P4	242	1	44273498	44274025
2_P4	243	1	44285029	44285513
2_P4	244	1	44563077	44563630
2_P4	245	1	44578959	44580031
2_P4	246	1	45157656	45158697
2_P4	247	1	45579580	45579949
2_P4	248	1	45732447	45733196
2_P4	249	1	45931248	45931650
2_P4	250	1	46942852	46943258
