name	splice	description	strand	trsl start	trsl end	length	number of exons	PR binding region (from trsl start)
Il1rapl2	NM_030688	interleukin 1 receptor accessory protein-like 2 (Il1rapl2), mRNA.	positive	134105292	135383616	1278324	11	278014..278527:   within  intron 2 
Dock11	NM_001009947	dedicator of cytokinesis 11 (Dock11), mRNA.	positive	33428826	33616557	187731	53	145600..146099:   within  intron 39 
Pcdh11x	NM_001271810	protocadherin 11 X-linked (Pcdh11x), transcript variant 2, mRNA.	positive	117403935	118024227	620292	6	533403..533952:   within  intron 5 
Pcdh11x	NM_001271809	protocadherin 11 X-linked (Pcdh11x), transcript variant 1, mRNA.	positive	117403935	118024227	620292	7	533403..533952:   within  intron 6 
Ctps2	NM_001168569	cytidine 5'-triphosphate synthase 2 (Ctps2), transcript variant 3, mRNA.	positive	159339491	159472473	132982	19	-212..417:   starts before the first exon, ends in  intron 1 
Ctps2	NM_001168568	cytidine 5'-triphosphate synthase 2 (Ctps2), transcript variant 2, mRNA.	positive	159339491	159472473	132982	19	-212..417:   starts before the first exon, ends in  intron 1 
Ctps2	NM_001168571	cytidine 5'-triphosphate synthase 2 (Ctps2), transcript variant 4, mRNA.	positive	159339491	159472473	132982	17	-212..417:   starts before the first exon, ends in  intron 1 
Ctps2	NM_018737	cytidine 5'-triphosphate synthase 2 (Ctps2), transcript variant 1, mRNA.	positive	159339491	159472473	132982	19	-212..417:   starts before the first exon, ends in  intron 1 
Kdm6a	NM_009483	lysine (K)-specific demethylase 6A (Kdm6a), transcript variant 1, mRNA.	positive	17739700	17857062	117362	29	23523..24375:   within  intron 2 
Kdm6a	NM_001310444	lysine (K)-specific demethylase 6A (Kdm6a), transcript variant 2, mRNA.	positive	17739700	17857062	117362	29	23523..24375:   within  intron 2 
Zfp185	NM_009549	zinc finger protein 185 (Zfp185), transcript variant 1, mRNA.	positive	70232677	70276882	44205	19	1197..1594:   within  intron 1 
Zfp185	NM_001109043	zinc finger protein 185 (Zfp185), transcript variant 2, mRNA.	positive	70232677	70276882	44205	19	1197..1594:   within  intron 1 
Mecp2	NM_010788	methyl CpG binding protein 2 (Mecp2), transcript variant 2, mRNA.	negative	71271930	71331029	59099	4	57853..58822:   within  intron 1 	21455..22107:   within  intron 2 	18856..19660:   within  intron 2 	-2901..-2141:   2.1 kbp downstream from the last exon
