name	name2	txStart	txEnd
NM_008032	Aff2	66613505	67121212
NM_030688	Il1rapl2	134105292	135383616
NM_028916	Efhc2	16709174	16896494
NM_001009947	Dock11	33428826	33616557
NM_001290384	Arhgef9	92244273	92361878
NM_001290385	Arhgef9	92244273	92361878
NM_001033329	Arhgef9	92244273	92361878
NM_001271810	Pcdh11x	117403935	118024227
NM_001271809	Pcdh11x	117403935	118024227
NM_001168569	Ctps2	159339526	159472473
NM_001168568	Ctps2	159339491	159472473
NM_001168571	Ctps2	159339526	159472473
NM_018737	Ctps2	159339526	159472473
NM_172472	Tfe3	7339786	7352328
NM_001271489	Tfe3	7339786	7352328
NM_001271490	Tfe3	7339786	7352328
NM_001105196	Tfe3	7339786	7352328
NM_009483	Kdm6a	17739700	17857062
NM_001310444	Kdm6a	17739700	17857062
NM_016886	Gria3	38754477	39031778
NM_001281929	Gria3	38754477	39031778
NM_001290451	Gria3	38754705	39025643
NM_001313744	Stk26	48194547	48246275
NM_133729	Stk26	48194547	48246275
NM_001290414	Fgf13	56315323	56838749
NM_152801	Arhgef6	54484661	54591906
NM_009549	Zfp185	70232677	70276882
NM_010788	Mecp2	71271930	71331029
NM_001030307	Dkc1	72341192	72355115
NM_001109043	Zfp185	70232677	70276882
NM_001081979	Mecp2	71271930	71331029
NM_007868	Dmd	80194208	82450389
NM_025729	Tab3	82819360	82879808
NM_001160403	Il1rapl1	83992580	85360962
NM_010833	Msn	93291383	93363892
NM_001177944	Eda	97170944	97596099
NM_001177943	Eda	97170944	97596099
NM_010099	Eda	97170944	97596099
NM_001177942	Eda	97170944	97596099
NM_001177941	Eda	97170944	97596099
NM_001177940	Eda	97170944	97596099
NM_001177939	Eda	97170944	97596099
NM_001177938	Eda	97170944	97596099
NM_001177937	Eda	97170944	97596099
NM_013476	Ar	95344095	95518557
NM_027382	Hdac8	99479976	99700497
NM_001313742	Hdac8	99602940	99700497
NM_172493	Diaph2	126284277	127000369
NM_013898	Timm8a1	131071794	131076209
NM_001037915	Ripply1	136314219	136316892
NM_198105	Fam120c	147778765	147908677
NM_001024624	Cdkl5	157222239	157432613
NM_001093750	Ptchd1	152004278	152057870
NM_001290526	Nhs	158274361	158597373
NM_021389	Sh3kbp1	156146532	156413852
NM_001135727	Sh3kbp1	156065203	156413852
NM_001252591	Smpx	154136904	154190523
NM_001081052	Nhs	158274361	158597373
NM_178754	Arhgap6	165474542	165742372
NM_181315	Car5b	160414753	160465942
NM_001287530	Arhgap6	165550809	165742372
NM_001033330	Frmpd4	163909237	165015165
NM_009707	Arhgap6	165233030	165742372
NM_001040459	Shroom4	5977149	6214572
NM_001313764	Shroom4	5992859	6214572
NM_001313765	Shroom4	6154403	6214572
NM_019582	Cacna1f	7184228	7212322
NM_001243762	Clcn5	6735537	6896484
NM_177914	Dgkk	6356431	6525489
NM_172478	Tbc1d25	7731597	7753307
NM_078484	Slc35a2	7461369	7471618
NM_001083937	Slc35a2	7461369	7471153
NM_001166437	Tbc1d25	7731597	7753307
NM_007807	Cybb	9012379	9046450
NM_173414	Lancl3	8777098	8845211
NM_177704	Sytl5	9462746	9575990
NM_001290728	Sytl5	9462746	9575990
NM_008769	Otc	9829430	9898150
NM_019634	Tspan7	10062241	10173730
NM_001168321	Bcor	11613863	11737481
NM_012005	Med14	12256869	12339099
NM_027439	Atp6ap2	12164884	12194177
NM_001048208	Med14	12252496	12339099
NM_001284505	Cask	13094207	13423682
NM_001284504	Cask	13094207	13423682
NM_001284503	Cask	13094207	13423682
NM_009806	Cask	13094207	13423682
NM_009481	Usp9x	12648623	12750453
NM_172778	Maob	16286406	16394492
NM_173740	Maoa	16196823	16264938
NM_021715	Chst7	19636695	19674646
NM_013680	Syn1	20437636	20498044
NM_001110780	Syn1	20437636	20498044
NM_199317	Jade3	20002813	20097065
NM_001289684	Jade3	20002813	20097065
NM_001290476	Klhl13	22796396	22862685
NM_026167	Klhl13	22796396	22942208
NM_001310466	Klhl13	22796396	22843928
NM_175180	Wdr44	23270176	23383127
NM_001305675	Wdr44	23270176	23383127
NM_001114754	Gm6121	26339869	26362795
NM_001100610	Gm14632	29483978	29506884
NM_001109970	Gm10486	29483950	29506884
NM_001109969	Gm10058	29483981	29506880
NM_001102678	Gm10096	29483950	29506881
NM_001099347	Gm10230	29483978	29506884
NM_001110250	Gm14819	29483978	29506884
NM_001100609	Gm10487	29483950	29506867
NM_001099919	Gm10147	29483978	29506881
NM_001177324	Sept6	34453438	34529690
NM_001177323	Sept6	34451266	34529690
NM_001253706	Sept6	34453438	34529690
NM_019942	Sept6	34451266	34529690
NM_133990	Il13ra1	33652102	33711256
NM_001040089	Rhox3f	34995858	35000003
NM_028288	Cul4b	35884797	35929373
NM_010685	Lamp2	35772679	35809637
NM_001017959	Lamp2	35758225	35809637
NM_001290485	Lamp2	35754533	35809637
NM_001110142	Cul4b	35884797	35929373
NM_183126	6030498E09Rik	36125956	36315865
NM_001290713	Stag2	39555031	39630363
NM_021465	Stag2	39503877	39630363
NM_009688	Xiap	39421012	39462841
NM_001033422	Thoc2	39148170	39265078
NM_001077712	Stag2	39502588	39630363
NM_001301641	Xiap	39424418	39462841
NM_001301639	Xiap	39421574	39462841
NM_011855	Tenm1	39885569	40627961
NM_001166450	Slc25a14	45976850	46015475
NM_001289729	Xpnpep2	45461901	45490158
NM_011398	Slc25a14	45976754	46015475
NM_001290705	Slc25a14	45976850	46015475
