Sample	Interval	Chromosome	Start	End
1_Oil	0	1	4281281	4281875
1_Oil	1	1	4316524	4317232
1_Oil	2	1	4416004	4417181
1_Oil	3	1	4478435	4479262
1_Oil	4	1	4483356	4484031
1_Oil	5	1	4503828	4504679
1_Oil	6	1	4603996	4604527
1_Oil	7	1	4605350	4605860
1_Oil	8	1	4643828	4644627
1_Oil	9	1	4661523	4662404
1_Oil	10	1	4756539	4757293
1_Oil	11	1	4847186	4848087
1_Oil	12	1	7078082	7079632
1_Oil	13	1	7504169	7504714
1_Oil	14	1	9238494	9239343
1_Oil	15	1	10222869	10223538
1_Oil	16	1	10980637	10981593
1_Oil	17	1	12705238	12706016
1_Oil	18	1	12707974	12709117
1_Oil	19	1	13192107	13192753
1_Oil	20	1	13299011	13299481
1_Oil	21	1	13579699	13580491
1_Oil	22	1	14705923	14706671
1_Oil	23	1	15741160	15741674
1_Oil	24	1	15867060	15867783
1_Oil	25	1	15896426	15897082
1_Oil	26	1	15903159	15903983
1_Oil	27	1	16117132	16117676
1_Oil	28	1	16219414	16220296
1_Oil	29	1	16646690	16647738
1_Oil	30	1	16786250	16787247
1_Oil	31	1	17560129	17561080
1_Oil	32	1	18262723	18263124
1_Oil	33	1	20853916	20854374
1_Oil	34	1	21221616	21222631
1_Oil	35	1	22981539	22982419
1_Oil	36	1	22984141	22984691
1_Oil	37	1	23213665	23214198
1_Oil	38	1	23328230	23328878
1_Oil	39	1	23952545	23953098
1_Oil	40	1	28558150	28558864
1_Oil	41	1	30651304	30652750
1_Oil	42	1	32270996	32271553
1_Oil	43	1	33702467	33703074
1_Oil	44	1	34207295	34208135
1_Oil	45	1	34278460	34279083
1_Oil	46	1	34302759	34303689
1_Oil	47	1	34367494	34368180
1_Oil	48	1	34538965	34539690
1_Oil	49	1	34673925	34674793
1_Oil	50	1	34721736	34722470
1_Oil	51	1	35388716	35389464
1_Oil	52	1	35709777	35710823
1_Oil	53	1	36389825	36390290
1_Oil	54	1	36630833	36631446
1_Oil	55	1	36740625	36741465
1_Oil	56	1	37019447	37020212
1_Oil	57	1	37305209	37305694
1_Oil	58	1	37568686	37569721
1_Oil	59	1	38297898	38299299
1_Oil	60	1	38319021	38319800
1_Oil	61	1	38444697	38445899
1_Oil	62	1	39142936	39143676
1_Oil	63	1	39173079	39173519
1_Oil	64	1	39221503	39222170
1_Oil	65	1	39582414	39583148
1_Oil	66	1	40151285	40152278
1_Oil	67	1	40186034	40186687
1_Oil	68	1	40196447	40197344
1_Oil	69	1	40300048	40301129
1_Oil	70	1	40765286	40765793
1_Oil	71	1	43028139	43028755
1_Oil	72	1	43141427	43142114
1_Oil	73	1	43293989	43294748
1_Oil	74	1	43301620	43302415
1_Oil	75	1	43503365	43504589
1_Oil	76	1	43690233	43690807
1_Oil	77	1	43751452	43752214
1_Oil	78	1	43755270	43755931
1_Oil	79	1	44579178	44579940
1_Oil	80	1	44860241	44861197
1_Oil	81	1	45157607	45158622
1_Oil	82	1	45851668	45852670
1_Oil	83	1	45892156	45892824
1_Oil	84	1	45938988	45939676
1_Oil	85	1	46909873	46911290
1_Oil	86	1	51586838	51587518
1_Oil	87	1	52053490	52054075
1_Oil	88	1	52145357	52146043
1_Oil	89	1	52211631	52212209
1_Oil	90	1	52388272	52388926
1_Oil	91	1	53928021	53928509
1_Oil	92	1	54848161	54848798
1_Oil	93	1	54859337	54860192
1_Oil	94	1	55144413	55145425
1_Oil	95	1	55187436	55188500
1_Oil	96	1	55219982	55220375
1_Oil	97	1	55270225	55270743
1_Oil	98	1	57274679	57275506
1_Oil	99	1	58266930	58267497
1_Oil	100	1	58363884	58364574
1_Oil	101	1	59378668	59379984
1_Oil	102	1	59424953	59426027
1_Oil	103	1	60236759	60237747
1_Oil	104	1	61197867	61199406
1_Oil	105	1	61354839	61355633
1_Oil	106	1	61620402	61621015
1_Oil	107	1	62253365	62254138
1_Oil	108	1	62747559	62748118
1_Oil	109	1	62771274	62772472
1_Oil	110	1	62797636	62798504
1_Oil	111	1	62867843	62869203
1_Oil	112	1	63001670	63002261
1_Oil	113	1	63160646	63161791
1_Oil	114	1	63222928	63224046
1_Oil	115	1	63948719	63949454
1_Oil	116	1	64578840	64579818
1_Oil	117	1	65422770	65423122
1_Oil	118	1	65453751	65454535
1_Oil	119	1	65720237	65720659
1_Oil	120	1	67230691	67231228
1_Oil	121	1	68919880	68920482
1_Oil	122	1	69122712	69123109
1_Oil	123	1	69680348	69680776
1_Oil	124	1	69684767	69685446
1_Oil	125	1	71942871	71943665
1_Oil	126	1	71984889	71985712
1_Oil	127	1	72048795	72049572
1_Oil	128	1	72098485	72099118
1_Oil	129	1	72128330	72129232
1_Oil	130	1	72508982	72509650
1_Oil	131	1	72629268	72630273
1_Oil	132	1	73199821	73200598
1_Oil	133	1	73763764	73764593
1_Oil	134	1	73851625	73852051
1_Oil	135	1	73868925	73869825
1_Oil	136	1	73896782	73897690
1_Oil	137	1	74034264	74034998
1_Oil	138	1	74061765	74062973
1_Oil	139	1	74073608	74075105
1_Oil	140	1	74093764	74094575
1_Oil	141	1	74226309	74227159
1_Oil	142	1	74437124	74439090
1_Oil	143	1	75018045	75018841
1_Oil	144	1	75037664	75038326
1_Oil	145	1	75689512	75690223
1_Oil	146	1	75922177	75923042
1_Oil	147	1	76021138	76021698
1_Oil	148	1	76081094	76081761
1_Oil	149	1	76094336	76094908
1_Oil	150	1	76134337	76134935
1_Oil	151	1	76184118	76184839
1_Oil	152	1	76272497	76273179
1_Oil	153	1	76720776	76721613
1_Oil	154	1	76906906	76907393
1_Oil	155	1	76939057	76939920
1_Oil	156	1	77229343	77230077
1_Oil	157	1	77334573	77335555
1_Oil	158	1	77436913	77437478
1_Oil	159	1	77463677	77464728
1_Oil	160	1	78432509	78432984
1_Oil	161	1	78564661	78565299
1_Oil	162	1	78786324	78786824
1_Oil	163	1	78813052	78813710
1_Oil	164	1	79674417	79675300
1_Oil	165	1	80014993	80015896
1_Oil	166	1	80541230	80542209
1_Oil	167	1	80711917	80712365
1_Oil	168	1	81414758	81415665
1_Oil	169	1	81479289	81479828
1_Oil	170	1	81581862	81582459
1_Oil	171	1	81698870	81699372
1_Oil	172	1	81792248	81792724
1_Oil	173	1	81808909	81809602
1_Oil	174	1	81893594	81894219
1_Oil	175	1	82185769	82186643
1_Oil	176	1	82243550	82244631
1_Oil	177	1	82287152	82288508
1_Oil	178	1	82411011	82411552
1_Oil	179	1	82425477	82426320
1_Oil	180	1	82457263	82458286
1_Oil	181	1	82470540	82471800
1_Oil	182	1	83847459	83848061
1_Oil	183	1	83867424	83868267
1_Oil	184	1	84250443	84251718
1_Oil	185	1	87688062	87688822
1_Oil	186	1	87832843	87833780
1_Oil	187	1	88336821	88340199
1_Oil	188	1	88344338	88345446
1_Oil	189	1	88420979	88423608
1_Oil	190	1	88932004	88932710
1_Oil	191	1	88992283	88992862
1_Oil	192	1	89060940	89061455
1_Oil	193	1	89470287	89470872
1_Oil	194	1	89471161	89471963
1_Oil	195	1	89652054	89652936
1_Oil	196	1	89743387	89744123
1_Oil	197	1	90108093	90108764
1_Oil	198	1	90155254	90156534
1_Oil	199	1	90241897	90243055
